Time,Node,IfIndex,qIndex,PfcType,Time
+1013666116.0ns,s7,0,0,P,0
+1013666138.0ns,s7,0,0,R,0
+1013666235.0ns,s7,0,0,P,0
+1013666257.0ns,s7,0,0,R,0
+1013666354.0ns,s7,0,0,P,0
+1013666376.0ns,s7,0,0,R,0
+1013666473.0ns,s7,0,0,P,0
+1013666495.0ns,s7,0,0,R,0
+1013666592.0ns,s7,0,0,P,0
+1013666614.0ns,s7,0,0,R,0
+1013666711.0ns,s7,0,0,P,0
+1013669351.0ns,s7,0,0,R,0
+1013679206.0ns,s7,0,0,P,0
+1013679228.0ns,s7,0,0,R,0
+1013679325.0ns,s7,0,0,P,0
+1013679347.0ns,s7,0,0,R,0
+1013679444.0ns,s7,0,0,P,0
+1013679466.0ns,s7,0,0,R,0
+1013679563.0ns,s7,0,0,P,0
+1013679585.0ns,s7,0,0,R,0
+1013679682.0ns,s7,0,0,P,0
+1013679704.0ns,s7,0,0,R,0
+1013679801.0ns,s7,0,0,P,0
+1013682441.0ns,s7,0,0,R,0
+1013692296.0ns,s7,0,0,P,0
+1013692318.0ns,s7,0,0,R,0
+1013692415.0ns,s7,0,0,P,0
+1013692437.0ns,s7,0,0,R,0
+1013692534.0ns,s7,0,0,P,0
+1013692556.0ns,s7,0,0,R,0
+1013692653.0ns,s7,0,0,P,0
+1013692675.0ns,s7,0,0,R,0
+1013692772.0ns,s7,0,0,P,0
+1013692794.0ns,s7,0,0,R,0
+1013692891.0ns,s7,0,0,P,0
+1013695531.0ns,s7,0,0,R,0
+1013705386.0ns,s7,0,0,P,0
+1013705408.0ns,s7,0,0,R,0
+1013705505.0ns,s7,0,0,P,0
+1013705527.0ns,s7,0,0,R,0
+1013705624.0ns,s7,0,0,P,0
+1013705646.0ns,s7,0,0,R,0
+1013705743.0ns,s7,0,0,P,0
+1013705765.0ns,s7,0,0,R,0
+1013705862.0ns,s7,0,0,P,0
+1013705884.0ns,s7,0,0,R,0
+1013705981.0ns,s7,0,0,P,0
+1013708621.0ns,s7,0,0,R,0
+1013718476.0ns,s7,0,0,P,0
+1013718498.0ns,s7,0,0,R,0
+1013718595.0ns,s7,0,0,P,0
+1013718617.0ns,s7,0,0,R,0
+1013718714.0ns,s7,0,0,P,0
+1013718736.0ns,s7,0,0,R,0
+1013718833.0ns,s7,0,0,P,0
+1013718855.0ns,s7,0,0,R,0
+1013718952.0ns,s7,0,0,P,0
+1013718974.0ns,s7,0,0,R,0
+1013719071.0ns,s7,0,0,P,0
+1013721711.0ns,s7,0,0,R,0
