Time,Node,IfIndex,qIndex,PfcType,Time
+1003209318.0ns,s43,0,0,P,0
+1003209386.0ns,s41,0,0,R,0
+1003212333.0ns,s41,0,0,P,0
+1003212468.0ns,s6,0,0,R,0
+1003215233.0ns,s43,0,0,R,0
+1003216163.0ns,s6,0,0,P,0
+1003216276.0ns,s6,0,0,R,0
+1003216282.0ns,s6,0,0,P,0
+1003218189.0ns,s43,0,0,P,0
+1003218207.0ns,s43,0,0,R,0
+1003218218.0ns,s43,0,0,P,0
+1003218242.0ns,s43,0,0,R,0
+1003218247.0ns,s43,0,0,P,0
+1003218249.0ns,s41,0,0,R,0
+1003221289.0ns,s41,0,0,P,0
+1003222407.0ns,s43,0,0,R,0
+1003222702.0ns,s6,0,0,R,0
+1003225427.0ns,s41,0,0,R,0
+1003225655.0ns,s6,0,0,P,0
+1003225677.0ns,s6,0,0,R,0
+1003225774.0ns,s6,0,0,P,0
+1003226292.0ns,s43,0,0,P,0
+1003226299.0ns,s43,0,0,R,0
+1003226321.0ns,s43,0,0,P,0
+1003226334.0ns,s43,0,0,R,0
+1003226350.0ns,s43,0,0,P,0
+1003229382.0ns,s41,0,0,P,0
+1003230499.0ns,s43,0,0,R,0
+1003232579.0ns,s6,0,0,R,0
+1003233513.0ns,s41,0,0,R,0
+1003234423.0ns,s43,0,0,P,0
+1003234426.0ns,s43,0,0,R,0
+1003234452.0ns,s43,0,0,P,0
+1003235294.0ns,s6,0,0,P,0
+1003235316.0ns,s6,0,0,R,0
+1003235413.0ns,s6,0,0,P,0
+1003237470.0ns,s41,0,0,P,0
+1003238633.0ns,s43,0,0,R,0
+1003241053.0ns,s6,0,0,R,0
+1003241407.0ns,s41,0,0,R,0
+1003242602.0ns,s43,0,0,P,0
+1003242602.0ns,s43,0,0,R,0
+1003242631.0ns,s43,0,0,P,0
+1003246769.0ns,s43,0,0,R,0
+1003250678.0ns,s43,0,0,P,0
+1003250694.0ns,s43,0,0,R,0
+1003250736.0ns,s43,0,0,P,0
+1003254861.0ns,s43,0,0,R,0
+1003258782.0ns,s43,0,0,P,0
+1003258786.0ns,s43,0,0,R,0
+1003258842.0ns,s43,0,0,P,0
+1003262841.0ns,s43,0,0,R,0
+1003267222.0ns,s8,0,0,P,0
+1003267223.0ns,s8,0,0,R,0
+1003267343.0ns,s8,0,0,P,0
+1003271949.0ns,s43,0,0,P,0
+1003271964.0ns,s43,0,0,R,0
+1003271978.0ns,s43,0,0,P,0
+1003271979.0ns,s43,0,0,R,0
+1003272036.0ns,s43,0,0,P,0
+1003272036.0ns,s43,0,0,R,0
+1003272065.0ns,s43,0,0,P,0
+1003272083.0ns,s43,0,0,R,0
+1003272094.0ns,s43,0,0,P,0
+1003272098.0ns,s43,0,0,R,0
+1003272123.0ns,s43,0,0,P,0
+1003272123.0ns,s43,0,0,R,0
+1003272152.0ns,s43,0,0,P,0
+1003272155.0ns,s43,0,0,R,0
+1003272181.0ns,s43,0,0,P,0
+1003272202.0ns,s43,0,0,R,0
+1003272210.0ns,s43,0,0,P,0
+1003272217.0ns,s43,0,0,R,0
+1003272239.0ns,s43,0,0,P,0
+1003272244.0ns,s43,0,0,R,0
+1003272268.0ns,s43,0,0,P,0
+1003272274.0ns,s43,0,0,R,0
+1003272297.0ns,s43,0,0,P,0
+1003272321.0ns,s43,0,0,R,0
+1003272326.0ns,s43,0,0,P,0
+1003272336.0ns,s43,0,0,R,0
+1003272355.0ns,s43,0,0,P,0
+1003272361.0ns,s43,0,0,R,0
+1003272384.0ns,s43,0,0,P,0
+1003272393.0ns,s43,0,0,R,0
+1003272413.0ns,s43,0,0,P,0
+1003272440.0ns,s43,0,0,R,0
+1003272442.0ns,s43,0,0,P,0
+1003272455.0ns,s43,0,0,R,0
+1003272471.0ns,s43,0,0,P,0
+1003272480.0ns,s43,0,0,R,0
+1003272500.0ns,s43,0,0,P,0
+1003272512.0ns,s43,0,0,R,0
+1003272529.0ns,s43,0,0,P,0
+1003272644.0ns,s43,0,0,R,0
+1003272674.0ns,s43,0,0,P,0
+1003272693.0ns,s43,0,0,R,0
+1003272703.0ns,s43,0,0,P,0
+1003272718.0ns,s43,0,0,R,0
+1003272732.0ns,s43,0,0,P,0
+1003272750.0ns,s43,0,0,R,0
+1003272761.0ns,s43,0,0,P,0
+1003272763.0ns,s43,0,0,R,0
+1003272790.0ns,s43,0,0,P,0
+1003272812.0ns,s43,0,0,R,0
+1003272819.0ns,s43,0,0,P,0
+1003272837.0ns,s43,0,0,R,0
+1003272848.0ns,s43,0,0,P,0
+1003272869.0ns,s43,0,0,R,0
+1003272877.0ns,s43,0,0,P,0
+1003272882.0ns,s43,0,0,R,0
+1003272906.0ns,s43,0,0,P,0
+1003272931.0ns,s43,0,0,R,0
+1003272935.0ns,s43,0,0,P,0
+1003272956.0ns,s43,0,0,R,0
+1003272964.0ns,s43,0,0,P,0
+1003272988.0ns,s43,0,0,R,0
+1003272993.0ns,s43,0,0,P,0
+1003273001.0ns,s43,0,0,R,0
+1003273022.0ns,s43,0,0,P,0
+1003273050.0ns,s43,0,0,R,0
+1003273051.0ns,s43,0,0,P,0
+1003273075.0ns,s43,0,0,R,0
+1003273080.0ns,s43,0,0,P,0
+1003273107.0ns,s43,0,0,R,0
+1003273109.0ns,s43,0,0,P,0
+1003273120.0ns,s43,0,0,R,0
+1003273138.0ns,s43,0,0,P,0
+1003273194.0ns,s43,0,0,R,0
+1003273196.0ns,s43,0,0,P,0
+1003273239.0ns,s43,0,0,R,0
+1003273254.0ns,s43,0,0,P,0
+1003273358.0ns,s43,0,0,R,0
+1003273370.0ns,s43,0,0,P,0
+1003273477.0ns,s43,0,0,R,0
+1003273486.0ns,s43,0,0,P,0
+1003273596.0ns,s43,0,0,R,0
+1003273602.0ns,s43,0,0,P,0
+1003273715.0ns,s43,0,0,R,0
+1003273718.0ns,s43,0,0,P,0
+1003274072.0ns,s43,0,0,R,0
+1003274080.0ns,s43,0,0,P,0
+1003274191.0ns,s43,0,0,R,0
+1003274199.0ns,s43,0,0,P,0
+1003274229.0ns,s8,0,0,R,0
+1003274310.0ns,s43,0,0,R,0
+1003274318.0ns,s43,0,0,P,0
+1003274429.0ns,s43,0,0,R,0
+1003274437.0ns,s43,0,0,P,0
+1003274548.0ns,s43,0,0,R,0
+1003274556.0ns,s43,0,0,P,0
+1003274597.0ns,s43,0,0,R,0
+1003277085.0ns,s8,0,0,P,0
+1003278783.0ns,s6,0,0,P,0
+1003278807.0ns,s6,0,0,R,0
+1003278902.0ns,s6,0,0,P,0
+1003278926.0ns,s6,0,0,R,0
+1003279021.0ns,s6,0,0,P,0
+1003282258.0ns,s6,0,0,R,0
+1003283210.0ns,s8,0,0,R,0
+1003286255.0ns,s43,0,0,P,0
+1003286256.0ns,s43,0,0,R,0
+1003286284.0ns,s43,0,0,P,0
+1003286308.0ns,s43,0,0,R,0
+1003286313.0ns,s43,0,0,P,0
+1003286330.0ns,s43,0,0,R,0
+1003286342.0ns,s43,0,0,P,0
+1003286375.0ns,s8,0,0,P,0
+1003288258.0ns,s6,0,0,P,0
+1003288327.0ns,s6,0,0,R,0
+1003288377.0ns,s6,0,0,P,0
+1003288446.0ns,s6,0,0,R,0
+1003288496.0ns,s6,0,0,P,0
+1003288803.0ns,s6,0,0,R,0
+1003288853.0ns,s6,0,0,P,0
+1003289112.0ns,s43,0,0,R,0
+1003292091.0ns,s8,0,0,R,0
+1003292362.0ns,s6,0,0,R,0
+1003294534.0ns,s43,0,0,P,0
+1003294541.0ns,s43,0,0,R,0
+1003294592.0ns,s43,0,0,P,0
+1003295401.0ns,s8,0,0,P,0
+1003295542.0ns,s8,0,0,R,0
+1003295543.0ns,s8,0,0,P,0
+1003295553.0ns,s6,0,0,P,0
+1003295575.0ns,s6,0,0,R,0
+1003295672.0ns,s6,0,0,P,0
+1003298277.0ns,s43,0,0,R,0
+1003301109.0ns,s6,0,0,R,0
+1003301228.0ns,s8,0,0,R,0
