Time,Node,IfIndex,qIndex,PfcType,Time
+1002286742.0ns,s7,0,0,R,0
+1002287355.0ns,s12,0,0,R,0
+1002289933.0ns,s7,0,0,P,0
+1002292807.0ns,s12,0,0,P,0
+1002292833.0ns,s12,0,0,R,0
+1002292916.0ns,s9,0,0,P,0
+1002292926.0ns,s12,0,0,P,0
+1002292952.0ns,s12,0,0,R,0
+1002293045.0ns,s12,0,0,P,0
+1002294477.0ns,s7,0,0,R,0
+1002296165.0ns,s12,0,0,R,0
+1002298739.0ns,s7,0,0,P,0
+1002300913.0ns,s9,0,0,R,0
+1002303135.0ns,s12,0,0,P,0
+1002303136.0ns,s12,0,0,R,0
+1002303164.0ns,s12,0,0,P,0
+1002303186.0ns,s12,0,0,R,0
+1002303283.0ns,s12,0,0,P,0
+1002305294.0ns,s9,0,0,P,0
+1002305977.0ns,s12,0,0,R,0
+1002305991.0ns,s7,0,0,R,0
+1002310491.0ns,s7,0,0,P,0
+1002313928.0ns,s12,0,0,P,0
+1002315035.0ns,s7,0,0,R,0
+1002317838.0ns,s12,0,0,R,0
+1002318821.0ns,s7,0,0,P,0
+1002322072.0ns,s12,0,0,P,0
+1002323484.0ns,s7,0,0,R,0
+1002325963.0ns,s12,0,0,R,0
+1002328222.0ns,s7,0,0,P,0
+1002331534.0ns,s7,0,0,R,0
+1002336510.0ns,s7,0,0,P,0
+1002342272.0ns,s9,0,0,R,0
+1002342442.0ns,s7,0,0,R,0
+1002346109.0ns,s7,0,0,P,0
+1002346131.0ns,s7,0,0,R,0
+1002346228.0ns,s7,0,0,P,0
+1002347724.0ns,s9,0,0,P,0
+1002351991.0ns,s7,0,0,R,0
+1002357800.0ns,s7,0,0,P,0
+1002357904.0ns,s7,0,0,R,0
+1002357919.0ns,s7,0,0,P,0
+1002361117.0ns,s9,0,0,R,0
+1002363140.0ns,s7,0,0,R,0
+1002366093.0ns,s9,0,0,P,0
+1002366115.0ns,s9,0,0,R,0
+1002366212.0ns,s7,0,0,P,0
+1002366212.0ns,s9,0,0,P,0
+1002371785.0ns,s7,0,0,R,0
+1002376999.0ns,s7,0,0,P,0
+1002377021.0ns,s7,0,0,R,0
+1002377118.0ns,s7,0,0,P,0
