Time,Node,PortIndex,DropPacket
+1005100000.0ns,s6,2,6028
+1005100000.0ns,s6,3,6107
+1005100000.0ns,s2,4,7408
+1005100000.0ns,s2,2,7485
+1005100000.0ns,s3,4,15562
+1005100000.0ns,s3,1,16239
+1005100000.0ns,s3,2,13497
+1005100000.0ns,s4,2,6583
+1005100000.0ns,s4,3,7059
+1005100000.0ns,s21,0,846
+1005100000.0ns,s21,4,260
+1005100000.0ns,s21,1,612
+1005100000.0ns,s21,3,395
+1005100000.0ns,s5,2,8635
+1005100000.0ns,s5,3,8606
+1005100000.0ns,s9,2,1421
+1005100000.0ns,s9,3,1325
+1005100000.0ns,s10,2,3470
+1005100000.0ns,s10,3,3619
+1005100000.0ns,s11,2,515
+1005100000.0ns,s11,3,496
+1005100000.0ns,s12,2,9031
+1005100000.0ns,s12,3,9518
+1005100000.0ns,s27,0,9607
+1005100000.0ns,s27,1,9602
+1005100000.0ns,s27,3,5929
+1005100000.0ns,s28,0,3017
+1005100000.0ns,s28,1,2970
+1005100000.0ns,s28,3,1281
+1005100000.0ns,s34,0,6315
+1005100000.0ns,s34,1,6635
+1005100000.0ns,s34,2,23
+1005100000.0ns,s35,0,3787
+1005100000.0ns,s35,1,3530
+1005100000.0ns,s35,3,2726
+1005200000.0ns,s1,1,17839
+1005200000.0ns,s1,2,15889
+1005200000.0ns,s1,3,17304
+1005200000.0ns,s6,2,6470
+1005200000.0ns,s6,3,6589
+1005200000.0ns,s2,4,7899
+1005200000.0ns,s2,2,7866
+1005200000.0ns,s3,4,16134
+1005200000.0ns,s3,1,16812
+1005200000.0ns,s3,2,14033
+1005200000.0ns,s4,2,6977
+1005200000.0ns,s4,3,7542
+1005200000.0ns,s21,0,1109
+1005200000.0ns,s21,4,350
+1005200000.0ns,s21,1,784
+1005200000.0ns,s21,3,574
+1005200000.0ns,s5,2,9107
+1005200000.0ns,s5,3,9060
+1005200000.0ns,s9,2,1828
+1005200000.0ns,s9,3,1711
+1005200000.0ns,s10,2,3892
+1005200000.0ns,s10,3,4083
+1005200000.0ns,s11,2,675
+1005200000.0ns,s11,3,647
+1005200000.0ns,s12,2,9464
+1005200000.0ns,s12,3,9959
+1005200000.0ns,s27,0,10091
+1005200000.0ns,s27,1,10020
+1005200000.0ns,s27,3,6161
+1005200000.0ns,s28,0,3322
+1005200000.0ns,s28,1,3273
+1005200000.0ns,s28,3,1457
+1005200000.0ns,s34,0,6593
+1005200000.0ns,s34,1,6854
+1005200000.0ns,s34,2,23
+1005200000.0ns,s35,0,4038
+1005200000.0ns,s35,1,3755
+1005200000.0ns,s35,3,2941
+1005300000.0ns,s1,1,18456
+1005300000.0ns,s1,2,16425
+1005300000.0ns,s1,3,17876
+1005300000.0ns,s6,2,6909
+1005300000.0ns,s6,3,7061
+1005300000.0ns,s2,4,8293
+1005300000.0ns,s2,2,8332
+1005300000.0ns,s3,4,16699
+1005300000.0ns,s3,1,17407
+1005300000.0ns,s3,2,14584
+1005300000.0ns,s4,2,7395
+1005300000.0ns,s4,3,7993
+1005300000.0ns,s21,0,1393
+1005300000.0ns,s21,4,463
+1005300000.0ns,s21,1,951
+1005300000.0ns,s21,3,766
+1005300000.0ns,s5,2,9539
+1005300000.0ns,s5,3,9549
+1005300000.0ns,s9,2,2235
+1005300000.0ns,s9,3,2111
+1005300000.0ns,s10,2,4335
+1005300000.0ns,s10,3,4494
+1005300000.0ns,s11,2,873
+1005300000.0ns,s11,3,813
+1005300000.0ns,s12,2,9941
+1005300000.0ns,s12,3,10381
+1005300000.0ns,s27,0,10519
+1005300000.0ns,s27,1,10387
+1005300000.0ns,s27,3,6431
+1005300000.0ns,s28,0,3660
+1005300000.0ns,s28,1,3565
+1005300000.0ns,s28,3,1635
+1005300000.0ns,s34,0,6892
+1005300000.0ns,s34,1,7186
+1005300000.0ns,s34,2,41
+1005300000.0ns,s35,0,4328
+1005300000.0ns,s35,1,4056
+1005300000.0ns,s35,3,3142
+1005400000.0ns,s1,1,19094
+1005400000.0ns,s1,2,16986
+1005400000.0ns,s1,3,18413
+1005400000.0ns,s6,2,7348
+1005400000.0ns,s6,3,7544
+1005400000.0ns,s2,4,8729
+1005400000.0ns,s2,2,8773
+1005400000.0ns,s3,4,17255
+1005400000.0ns,s3,1,18017
+1005400000.0ns,s3,2,15155
+1005400000.0ns,s4,2,7881
+1005400000.0ns,s4,3,8405
+1005400000.0ns,s21,0,1662
+1005400000.0ns,s21,4,544
+1005400000.0ns,s21,1,1119
+1005400000.0ns,s21,3,895
+1005400000.0ns,s5,2,10029
+1005400000.0ns,s5,3,9990
+1005400000.0ns,s9,2,2624
+1005400000.0ns,s9,3,2506
+1005400000.0ns,s10,2,4780
+1005400000.0ns,s10,3,4931
+1005400000.0ns,s11,2,1060
+1005400000.0ns,s11,3,974
+1005400000.0ns,s12,2,10421
+1005400000.0ns,s12,3,10806
+1005400000.0ns,s20,2,4
+1005400000.0ns,s27,0,10905
+1005400000.0ns,s27,1,10781
+1005400000.0ns,s27,3,6619
+1005400000.0ns,s28,0,3874
+1005400000.0ns,s28,1,3854
+1005400000.0ns,s28,3,1746
+1005400000.0ns,s34,0,7159
+1005400000.0ns,s34,1,7526
+1005400000.0ns,s34,2,201
+1005400000.0ns,s35,0,4636
+1005400000.0ns,s35,1,4331
+1005400000.0ns,s35,3,3385
+1005500000.0ns,s1,1,19674
+1005500000.0ns,s1,2,17542
+1005500000.0ns,s1,3,18997
+1005500000.0ns,s6,2,7794
+1005500000.0ns,s6,3,8008
+1005500000.0ns,s2,4,9164
+1005500000.0ns,s2,2,9218
+1005500000.0ns,s3,4,17874
+1005500000.0ns,s3,1,18618
+1005500000.0ns,s3,2,15668
+1005500000.0ns,s4,2,8305
+1005500000.0ns,s4,3,8874
+1005500000.0ns,s21,0,1845
+1005500000.0ns,s21,4,611
+1005500000.0ns,s21,1,1263
+1005500000.0ns,s21,3,1034
+1005500000.0ns,s5,2,10481
+1005500000.0ns,s5,3,10373
+1005500000.0ns,s9,2,3040
+1005500000.0ns,s9,3,2861
+1005500000.0ns,s10,2,5232
+1005500000.0ns,s10,3,5346
+1005500000.0ns,s11,2,1169
+1005500000.0ns,s11,3,1069
+1005500000.0ns,s12,2,10893
+1005500000.0ns,s12,3,11227
+1005500000.0ns,s20,2,210
+1005500000.0ns,s20,3,266
+1005500000.0ns,s27,0,11378
+1005500000.0ns,s27,1,11220
+1005500000.0ns,s27,3,6930
+1005500000.0ns,s28,0,4227
+1005500000.0ns,s28,1,4246
+1005500000.0ns,s28,3,1941
+1005500000.0ns,s34,0,7519
+1005500000.0ns,s34,1,7927
+1005500000.0ns,s34,2,373
+1005500000.0ns,s35,0,4951
+1005500000.0ns,s35,1,4648
+1005500000.0ns,s35,3,3603
+1005600000.0ns,s1,1,20289
